Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
13974,1.147,1.997
13975,10.462,11.253
1398,0.449,1.416
13988,3.829,3.492
13995,1.705,3.725
14009,5.213,12.315
14012,1.33,3.768
14013,3.561,4.772
14014,9.459,32.122
14015,7.265,10.71
140259,0.703,0
14038,0.605,0.742
140430,4.34,9.012
14065,0.106,4.111
14066,12.555,22.013
1407,4.45,30.839
14072,13.775,6.585
1408,3.557,8.782
14082,11.749,27.07
14084,10.733,16.813
14085,0.45,0.991
14086,0.257,0.939
14087,2.226,5.821
14088,10.305,15.002
140893,0.42,0
14090,5.909,16.608
140938,0.544,1.081
14095,20.759,10.106
14097,4.369,21.937
14099,11.615,13.004
141028,1.31,2.163
14103,8.225,10.705
14106,0.735,4.623
14108,1.712,4.432
14110,7.282,29.39
14111,7.928,16.358
14112,3.499,3.415
1412,0.694,19.482
14121,0.194,0.034
14123,7.888,51.55
14125,24.791,13.457
141264,0.16,0
14127,3.367,7.411
14129,20.116,0.016
14132,0.932,0.044
14133,5.915,13.087
14137,10.631,28.72
14142,1.314,5.939
14144,0.268,0.837
14150,0.95,1.269
14151,0.098,0.073
14152,4.116,16.602
14157,21.98,13.132
1416,0.3,9.1
14163,9.805,28.129
14168,0.105,0.138
14169,1.934,1.918
14170,0.62,12.872
14171,5.456,29.693
14172,11.455,13.94
14174,6.568,5.581
14177,5.577,2.062
1418,0.12,12.121
14183,11.011,9.655
14184,19.921,25.011
14186,0.11,0.462
14191,19.445,22.626
14193,13.158,10.964
14196,13.391,20.356
1420,8.504,13.843
14204,24.586,29.958
14205,3.325,18.722
14209,0.788,1.476
1421,30.375,61.714
14210,31.403,34.879
14214,1.676,2.712
14217,5.037,16.726
14218,1.431,32.09
14219,10.917,12.904
14220,7.501,10.765
14221,17.083,28.688
14226,20.357,11.444
14227,0.427,0.541
14228,0.85,4.616
14230,6.741,5.659
14232,2.419,7.431
14240,6.724,11.179
14241,3.171,10.829
14243,1.518,10.634
14246,3.52,0
14247,12.319,10.445
14249,3.739,3.057
14252,6.814,9.32
1425456,0.256,0.029
14255,8.398,12.179
14259,1.265,1.134
14261,20.664,33.149
14264,3.351,1.266
14274,1.702,4.119
14290,0.204,5.641
14293,0.276,0.779
14297,0.115,0.208
1430,3.199,11.929
14300,3.778,6.434
14303,4.713,15.205
14310,4.865,29.268
14313,5.642,5.794
14316,0.618,6.839
14323,6.134,22.689
14324,5.282,2.759
1434,3.996,4.312
14340,14.523,21.348
14342,13.966,10.931
14348,3.214,1.097
14349,6.439,11.994
1436,1.628,6.326
14363,1.808,2.652
143642,0.883,0
14365,3.459,16.306
14367,8.727,13.811
143698,0.446,0
14371,4.261,10.628
143777,2.35,0.565
1438,5.043,9.748
143812,1.211,0
143878,5.925,2.63
14389,12.972,11.314
143900,0.623,0
14392,1.831,2.349
143935,3.405,0.553
143990,2.813,0.04
14401,2.939,9.615
14403,0.113,0.22
14407,4.948,3.633
14408,8.239,10.562
14412,13.87,22.267
14413,2.238,1.751
144181,5.915,3.88
144183,1.884,0
144191,0.611,0
14422,13.098,10.12
14428,8.998,6.35
14436,0.281,0.039
14438,0.362,0.415
14451,1.326,3.202
14457,1.731,3.617
14458,0.703,4.25
144581,0.931,0
1446,2.122,5.895
14461,0.692,0.203
14465,8.187,9.942
14468,1.03,1.931
14471,0.282,0.715
144731,4.861,4.53
14478,27.759,38.251
144808,0.976,0
144819,1.248,0
14484,5.875,8.506
14486,5.745,8.577
144886,1.343,0.466
144928,0.682,0
144938,1.311,0.034
14494,3.464,7.508
14496,4.106,13.546
14499,5.104,5.834
145,0.364,2.236
145035,3.644,3.593
14504,3.743,8.051
14506,0.131,0.16
14514,9.531,21.168
14520,13.29,27.5
1453,0.314,0.651
14532,1.792,3.286
145363,11.654,11.071
14541,0.151,0.345
145412,3.247,0.572
14542,8.14,18.317
14549,1.15,1.125
14550,8.982,9.155
14551,12.764,32.591
145516,2.853,0.072
14552,17.605,10.464
14558,1.238,1.535
1456,0.112,0.385
14565,6.623,11.881
14567,8.766,42.612
14571,5.967,10.883
145768,0.125,1.201
1458,1.076,4.8
14580,13.524,22.757
14582,2.213,2.404
